HERO_TYPEID,EVOLVE_TYPEID,COIN,COST_HERO_1,COST_HERO_2,COST_HERO_3,COST_HERO_4,COST_HERO_5,
10001,10002,50000,10031,10037,,,,
10002,10003,100000,10031,10037,10043,,,
10003,10004,200000,10031,10037,10043,10055,10062,
10004,10005,500000,10037,10043,10055,10061,10064,
10006,10007,50000,10032,10038,,,,
10007,10008,100000,10032,10038,10044,,,
10008,10009,200000,10032,10038,10044,10056,10062,
10009,10010,500000,10038,10044,10056,10061,10064,
10011,10012,50000,10033,10039,,,,
10012,10013,100000,10033,10039,10045,,,
10013,10014,200000,10033,10039,10045,10057,10062,
10014,10015,500000,10039,10045,10057,10061,10064,
10016,10017,50000,10034,10040,,,,
10017,10018,100000,10034,10040,10046,,,
10018,10019,200000,10034,10040,10046,10058,10062,
10019,10020,500000,10040,10046,10058,10061,10064,
10021,10022,50000,10035,10041,,,,
10022,10023,100000,10035,10041,10047,,,
10023,10024,200000,10035,10041,10047,10059,10062,
10024,10025,500000,10041,10047,10059,10061,10064,
10026,10027,50000,10036,10042,,,,
10027,10028,100000,10036,10042,10048,,,
10028,10029,200000,10036,10042,10048,10060,10062,
10029,10030,500000,10042,10048,10060,10061,10064,
10095,10096,1000,10031,,,,,
10096,10097,50000,10031,10062,,,,
10098,10099,1000,10032,,,,,
10099,10100,50000,10032,10062,,,,
10101,10102,1000,10033,,,,,
10102,10103,5000,10033,10062,,,,
10104,10105,1000,10034,,,,,
10105,10106,50000,10034,10062,,,,
10107,10108,1000,10035,,,,,
10108,10109,50000,10035,10062,,,,
10110,10111,1000,10036,,,,,
10111,10112,50000,10036,10062,,,,
10113,10114,1000,10031,,,,,
10114,10115,50000,10031,10062,,,,
10116,10117,1000,10032,,,,,
10117,10118,50000,10032,10062,,,,
10119,10120,1000,10033,,,,,
10120,10121,50000,10033,10062,,,,
10122,10123,1000,10034,,,,,
10123,10124,50000,10034,10062,,,,
10125,10126,1000,10035,,,,,
10126,10127,50000,10035,10062,,,,
10128,10129,1000,10036,,,,,
10129,10130,50000,10036,10062,,,,
10131,10132,1000,10031,,,,,
10132,10133,50000,10031,10062,,,,
10134,10135,1000,10032,,,,,
10135,10136,50000,10032,10062,,,,
10137,10138,1000,10033,,,,,
10138,10139,50000,10033,10062,,,,
10140,10141,1000,10034,,,,,
10141,10142,50000,10034,10062,,,,
10143,10144,1000,10035,,,,,
10144,10145,50000,10035,10062,,,,
10146,10147,1000,10036,,,,,
10147,10148,50000,10036,10062,,,,
10149,10150,50000,10031,10062,,,,
10150,10151,100000,10031,10037,10043,,,
10152,10153,50000,10032,10062,,,,
10153,10154,100000,10032,10038,10044,,,
10155,10156,50000,10033,10062,,,,
10156,10157,100000,10033,10039,10045,,,
10158,10159,50000,10034,10062,,,,
10159,10160,100000,10034,10040,10046,,,
10161,10162,50000,10031,10062,,,,
10162,10163,100000,10031,10037,10043,,,
10164,10165,50000,10032,10062,,,,
10165,10166,100000,10032,10038,10044,,,
10167,10168,50000,10033,10062,,,,
10168,10169,100000,10033,10039,10045,,,
10170,10171,50000,10034,10062,,,,
10171,10172,100000,10034,10040,10046,,,
10173,10174,50000,10035,10062,,,,
10174,10175,100000,10035,10041,10047,,,
10176,10177,50000,10036,10062,,,,
10177,10178,100000,10036,10042,10048,,,
10179,10180,50000,10031,10062,,,,
10180,10181,100000,10031,10037,10043,,,
10182,10183,50000,10032,10062,,,,
10183,10184,100000,10032,10038,10044,,,
10185,10186,50000,10033,10062,,,,
10186,10187,100000,10033,10039,10045,,,
10188,10189,50000,10034,10062,,,,
10189,10190,100000,10034,10040,10046,,,
10191,10192,50000,10035,10062,,,,
10192,10193,100000,10035,10041,10047,,,
10194,10195,50000,10036,10062,,,,
10195,10196,100000,10036,10042,10048,,,
10197,10198,50000,10031,10062,,,,
