MONSTER_TYPEID,NAME,CLASS,HP,ATK,DEF,RECOVER,VIOLENCE,STATUS_POISON,STATUS_WEAK,STATUS_SICK,STATUS_HURT,STATUS_PARALYSIS,STATUS_CURSE,SPARK_COIN,SPARK_SOUL,SKILL_BASE,ACTION_CNT_MIN,ACTION_CNT,AI,CATCH_ID,CATCH_RATE,CATCH_LEVEL_MIN,CATCH_LEVEL_MAX,IS_BOSS,
90001,900011,1,819,170,130,143,500,0,0,0,0,0,0,13,7,46000,1,2,0,10098,2500,1,3,0,
90002,900021,2,737,195,130,143,500,0,0,0,0,0,0,13,7,46001,1,2,0,10095,2500,1,3,0,
90003,900031,3,942,178,143,129,500,0,0,0,0,0,0,13,7,46000,1,2,0,10101,2500,1,3,0,
90004,900041,4,942,195,169,157,500,0,0,0,0,0,0,13,7,46001,1,2,0,10104,2500,1,3,0,
90005,900051,5,983,204,156,186,500,0,0,0,0,0,0,13,7,46000,1,2,0,10110,2500,1,3,0,
90006,900061,6,819,170,130,143,500,0,0,0,0,0,0,13,7,46001,1,2,0,10107,2500,1,3,0,
90007,900071,3,737,195,130,143,500,0,0,0,0,0,0,13,7,46000,1,2,0,10101,2500,1,3,0,
90008,900081,1,942,178,143,129,500,0,0,0,0,0,0,13,7,46001,1,2,0,10098,2500,1,3,0,
90009,900091,1,942,195,169,157,500,0,0,0,0,0,0,13,7,46000,1,2,0,10167,2500,1,3,0,
90010,900101,1,983,204,156,186,500,0,0,0,0,0,0,13,7,46001,1,2,0,10167,2500,1,3,0,
90011,900111,3,832,172,132,145,500,0,0,0,0,0,0,13,7,46000,1,2,0,10104,2500,1,3,0,
90012,900121,2,748,198,132,145,500,0,0,0,0,0,0,13,7,46001,1,2,0,10095,2500,1,3,0,
90013,900131,2,956,181,145,131,500,0,0,0,0,0,0,13,7,46000,1,2,0,10131,2500,1,3,0,
90014,900141,3,956,198,172,160,500,0,0,0,0,0,0,13,7,46001,1,2,0,10137,2500,1,3,0,
90015,900151,2,998,207,158,189,500,0,0,0,0,0,0,13,7,46000,1,2,0,10131,2500,1,3,0,
90016,900161,1,832,172,132,145,500,0,0,0,0,0,0,13,7,46001,1,2,0,10098,2500,1,3,0,
